ticker,instrument,name,sector,currency,created_date,last_updated_date
FI,stock,Fiserv,Transaction & Payment Processing Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FMC,stock,FMC Corporation,Fertilizers & Agricultural Chemicals,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
F,stock,Ford Motor Company,Automobile Manufacturers,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FTNT,stock,Fortinet,Systems Software,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FTV,stock,Fortive,Industrial Machinery & Supplies & Components,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FOXA,stock,Fox Corporation,Broadcasting,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FOX,stock,Fox Corporation,Broadcasting,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BEN,stock,Franklin Templeton,Asset Management & Custody Banks,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FCX,stock,Freeport-McMoRan,Copper,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GRMN,stock,Garmin,Consumer Electronics,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
IT,stock,Gartner,IT Consulting & Other Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GE,stock,GE Aerospace,Aerospace & Defense,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GEHC,stock,GE HealthCare,Health Care Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GEV,stock,GE Vernova,Heavy Electrical Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GEN,stock,Gen Digital,Systems Software,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GNRC,stock,Generac,Electrical Components & Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GD,stock,General Dynamics,Aerospace & Defense,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GIS,stock,General Mills,Packaged Foods & Meats,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GM,stock,General Motors,Automobile Manufacturers,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GPC,stock,Genuine Parts Company,Distributors,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GILD,stock,Gilead Sciences,Biotechnology,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GPN,stock,Global Payments,Transaction & Payment Processing Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GL,stock,Globe Life,Life & Health Insurance,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GDDY,stock,GoDaddy,Internet Services & Infrastructure,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GS,stock,Goldman Sachs,Investment Banking & Brokerage,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
HAL,stock,Halliburton,Oil & Gas Equipment & Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
HIG,stock,Hartford (The),Property & Casualty Insurance,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
HAS,stock,Hasbro,Leisure Products,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
HCA,stock,HCA Healthcare,Health Care Facilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DOC,stock,Healthpeak,Health Care REITs,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
HSIC,stock,Henry Schein,Health Care Distributors,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
HSY,stock,Hershey's,Packaged Foods & Meats,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
